positionName,companyFullName,companySize,industryField,financeStage,firstType,secondType,thirdType,positionLables,createTime,city,district,businessZones,salary,workYear,jobNature,education,positionAdvantage
内容运营主编,沪江教育科技（上海）股份有限公司,500-2000人,教育,D轮及以上,运营|编辑|客服类,运营,内容运营,"['教育', '运营', '内容运营']",2020-09-04 09:40:38,上海,浦东新区,['张江'],20k-30k,5-10年,全职,本科,高薪，晋升快
日语留学顾问,沪江教育科技（上海）股份有限公司,500-2000人,教育,D轮及以上,教育|培训,教师,院校教务管理人员,['教育'],2020-09-04 09:40:38,上海,浦东新区,['张江'],6k-9k,不限,全职,不限,弹性办公
系统工程师,沪江教育科技（上海）股份有限公司,500-2000人,教育,D轮及以上,开发|测试|运维类,运维,系统工程师,['教育'],2020-09-04 09:40:38,上海,浦东新区,['张江'],8k-10k,3-5年,全职,本科,弹性办公
外贸业务员,义乌市年盛进出口有限公司,50-150人,电商,不需要融资,贸易|批发|零售|租赁业,贸易,贸易|外贸专员|助理,['电商'],2020-09-04 09:40:38,金华,东阳市,,5k-10k,1年以下,全职,本科,做六休一，定期团建，员工生日会
python（web）,深圳众禄基金销售股份有限公司,150-500人,"移动互联网,金融",上市公司,开发|测试|运维类,后端开发,Python,['后端'],2020-09-04 09:40:38,深圳,罗湖区,,15k-25k,3-5年,全职,大专,周末双休 双地铁站圈 五险一金
系统工程师,沪江教育科技（上海）股份有限公司,500-2000人,教育,D轮及以上,开发|测试|运维类,运维,系统工程师,['教育'],2020-09-04 09:40:38,上海,浦东新区,['张江'],8k-12k,3-5年,全职,本科,弹性办公
高级英语教研老师,沪江教育科技（上海）股份有限公司,500-2000人,教育,D轮及以上,教育|培训,教师,外语培训师,['教育'],2020-09-04 09:40:38,上海,浦东新区,['张江'],15k-30k,3-5年,全职,本科,高薪，晋升快
品牌视觉设计师,上海盖杰实业有限公司,15-50人,"移动互联网,电商",未融资,设计类,视觉,视觉设计,"['电商', '3D设计', '品牌设计', '包装设计', '电商广告设计']",2020-09-04 09:41:15,上海,浦东新区,,10k-15k,3-5年,全职,大专,周末双休、弹性工作、五险一金、车贴饭贴
新媒体运营主管,上海盖杰实业有限公司,15-50人,"移动互联网,电商",未融资,运营|编辑|客服类,高端运营|编辑|客服类,其他高端运营职位,['电商'],2020-09-04 09:41:15,上海,浦东新区,,10k-15k,3-5年,全职,大专,周末双休、弹性工作、五险一金、团建旅游
品牌策划,上海盖杰实业有限公司,15-50人,"移动互联网,电商",未融资,市场|商务类,品牌|广告,品牌策划,"['电商', '品牌传播/推广', '文案', '品牌传播', '品牌规划']",2020-09-04 09:41:15,上海,浦东新区,,10k-15k,3-5年,全职,大专,团队氛围好、弹性工作、智能产品、
