name,company,company_size,field,workarea,background,education,low_salary,high_salary
推广运营,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,1-3年,本科,10,15
前端专家,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,5-10年,本科,35,45
高级产品经理（医生）,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,5-10年,本科,30,40
APP专项测试,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,3-5年,大专,15,25
课程咨询主管,成都心田花开教育咨询有限公司,500-2000人,教育,重庆,3-5年,本科,7,12
媒介经理,深圳优普联网络科技有限公司,15-50人,"移动互联网,广告营销",深圳,3-5年,本科,10,20
财务专员,深圳优普联网络科技有限公司,15-50人,"移动互联网,广告营销",深圳,1-3年,本科,6,8
APP测试工程师,上海翡翠东方网络信息技术有限公司,150-500人,文娱丨内容,广州,3-5年,本科,10,20
商务经理,深圳优普联网络科技有限公司,15-50人,"移动互联网,广告营销",深圳,1-3年,大专,10,15
品牌运营经理（商务合作方向）,上海翡翠东方网络信息技术有限公司,150-500人,文娱丨内容,广州,1-3年,本科,10,15
商务渠道,深圳优普联网络科技有限公司,15-50人,"移动互联网,广告营销",深圳,1-3年,本科,10,15
招聘专员,上海翡翠东方网络信息技术有限公司,150-500人,文娱丨内容,广州,3-5年,本科,6,8
薪酬绩效经理,上海翡翠东方网络信息技术有限公司,150-500人,文娱丨内容,广州,3-5年,本科,10,15
小学数学老师,成都心田花开教育咨询有限公司,500-2000人,教育,重庆,不限,本科,6,12
商务渠道经理,深圳优普联网络科技有限公司,15-50人,"移动互联网,广告营销",深圳,1-3年,大专,10,15
直播内容运营（电商方向）,上海翡翠东方网络信息技术有限公司,150-500人,文娱丨内容,广州,1-3年,本科,12,24
区域校长,成都心田花开教育咨询有限公司,500-2000人,教育,重庆,5-10年,本科,20,40
互联商务经理,深圳优普联网络科技有限公司,15-50人,"移动互联网,广告营销",深圳,3-5年,大专,10,20
媒介合作,深圳优普联网络科技有限公司,15-50人,"移动互联网,广告营销",深圳,1-3年,本科,10,15
app内容运营,成都随身学教育科技有限公司,500-2000人,"移动互联网,教育",成都,1-3年,大专,5,8
课程销售顾问（3000无责底薪、五险一金）,成都随身学教育科技有限公司,500-2000人,"移动互联网,教育",成都,1-3年,大专,7,11
高级UI设计师,成都随身学教育科技有限公司,500-2000人,"移动互联网,教育",成都,3-5年,本科,7,10
ios高级开发工程师,成都随身学教育科技有限公司,500-2000人,"移动互联网,教育",成都,3-5年,大专,8,12
销售专员,成都随身学教育科技有限公司,500-2000人,"移动互联网,教育",成都,1-3年,大专,7,11
产品经理/高级产品经理,成都随身学教育科技有限公司,500-2000人,"移动互联网,教育",成都,3-5年,本科,10,18
